amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
,,汕头市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,重庆市,,,,,,,,,,,,,,,,重庆市,,,,,,,,0
,,七台河市,,,,,,,,,,,,,,,,黑龙江省,,,,,,,,0
,,福州市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
,,上饶市,,,,,,,,,,,,,,,,江西省,,,,,,,,0
,,朔州市,,,,,,,,,,,,,,,,山西省,,,,,,,,0
,,潍坊市,,,,,,,,,,,,,,,,山东省,,,,,,,,0
,,晋城市,,,,,,,,,,,,,,,,山西省,,,,,,,,0
,,赣州市,,,,,,,,,,,,,,,,江西省,,,,,,,,0
,,咸阳市,,,,,,,,,,,,,,,,陕西省,,,,,,,,0
,,宜宾市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
,,长春市,,,,,,,,,,,,,,,,吉林省,,,,,,,,0
,,南平市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
,,邯郸市,,,,,,,,,,,,,,,,河北省,,,,,,,,0
,,台州市,,,,,,,,,,,,,,,,浙江省,,,,,,,,0
,,宜昌市,,,,,,,,,,,,,,,,湖北省,,,,,,,,0
,,梧州市,,,,,,,,,,,,,,,,广西壮族自治区,,,,,,,,0
,,宣城市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,太原市,,,,,,,,,,,,,,,,山西省,,,,,,,,0
,,六安市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,梧州市,,,,,,,,,,,,,,,,广西壮族自治区,,,,,,,,0
,,济宁市,,,,,,,,,,,,,,,,山东省,,,,,,,,0
,,重庆市,,,,,,,,,,,,,,,,重庆市,,,,,,,,0
,,淮安市,,,,,,,,,,,,,,,,江苏省,,,,,,,,0
,,梅州市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,长治市,,,,,,,,,,,,,,,,山西省,,,,,,,,0
,,鞍山市,,,,,,,,,,,,,,,,辽宁省,,,,,,,,0
,,连云港市,,,,,,,,,,,,,,,,江苏省,,,,,,,,0
,,辽源市,,,,,,,,,,,,,,,,吉林省,,,,,,,,0
,,临沧市,,,,,,,,,,,,,,,,云南省,,,,,,,,0
,,益阳市,,,,,,,,,,,,,,,,湖南省,,,,,,,,0
,,湖州市,,,,,,,,,,,,,,,,浙江省,,,,,,,,1
,,红河哈尼族彝族自治州,,,,,,,,,,,,,,,,云南省,,,,,,,,0
,,咸阳市,,,,,,,,,,,,,,,,陕西省,,,,,,,,0
,,邯郸市,,,,,,,,,,,,,,,,河北省,,,,,,,,0
,,南宁市,,,,,,,,,,,,,,,,广西壮族自治区,,,,,,,,1
,,梅州市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,沈阳市,,,,,,,,,,,,,,,,辽宁省,,,,,,,,0
,,东莞市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,广州市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,琼海市,,,,,,,,,,,,,,,,海南省,,,,,,,,0
,,亳州市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,昆明市,,,,,,,,,,,,,,,,云南省,,,,,,,,0
,,黄冈市,,,,,,,,,,,,,,,,湖北省,,,,,,,,0
,,扬州市,,,,,,,,,,,,,,,,江苏省,,,,,,,,0
,,合肥市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,晋江市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
,,大理白族自治州,,,,,,,,,,,,,,,,云南省,,,,,,,,0
,,威海市,,,,,,,,,,,,,,,,山东省,,,,,,,,0
,,绥化市,,,,,,,,,,,,,,,,黑龙江省,,,,,,,,1
,,莆田市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
,,揭阳市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,大石桥市,,,,,,,,,,,,,,,,辽宁省,,,,,,,,0
,,大连市,,,,,,,,,,,,,,,,辽宁省,,,,,,,,0
,,重庆市,,,,,,,,,,,,,,,,重庆市,,,,,,,,0
,,宜宾市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
,,泰州市,,,,,,,,,,,,,,,,江苏省,,,,,,,,0
,,六安市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,六安市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,嘉兴市,,,,,,,,,,,,,,,,浙江省,,,,,,,,0
,,南充市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
,,渭南市,,,,,,,,,,,,,,,,陕西省,,,,,,,,0
,,红河哈尼族彝族自治州,,,,,,,,,,,,,,,,云南省,,,,,,,,0
,,青岛市,,,,,,,,,,,,,,,,山东省,,,,,,,,0
,,西安市,,,,,,,,,,,,,,,,陕西省,,,,,,,,0
,,黄山市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,梅州市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,眉山市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
,,漳州市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
,,汕头市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,福州市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
,,兰州市,,,,,,,,,,,,,,,,甘肃省,,,,,,,,0
,,濮阳市,,,,,,,,,,,,,,,,河南省,,,,,,,,0
,,广元市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
,,潍坊市,,,,,,,,,,,,,,,,山东省,,,,,,,,0
,,深圳市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,杭州市,,,,,,,,,,,,,,,,浙江省,,,,,,,,1
,,衡阳市,,,,,,,,,,,,,,,,湖南省,,,,,,,,0
,,信阳市,,,,,,,,,,,,,,,,河南省,,,,,,,,0
,,张掖市,,,,,,,,,,,,,,,,甘肃省,,,,,,,,0
,,安庆市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,南京市,,,,,,,,,,,,,,,,江苏省,,,,,,,,0
,,宜昌市,,,,,,,,,,,,,,,,湖北省,,,,,,,,0
,,大理白族自治州,,,,,,,,,,,,,,,,云南省,,,,,,,,0
,,湘潭市,,,,,,,,,,,,,,,,湖南省,,,,,,,,0
,,周口市,,,,,,,,,,,,,,,,河南省,,,,,,,,0
,,普洱市,,,,,,,,,,,,,,,,云南省,,,,,,,,0
,,岳阳市,,,,,,,,,,,,,,,,湖南省,,,,,,,,0
,,蚌埠市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,宜昌市,,,,,,,,,,,,,,,,湖北省,,,,,,,,0
,,郑州市,,,,,,,,,,,,,,,,河南省,,,,,,,,0
,,南昌市,,,,,,,,,,,,,,,,江西省,,,,,,,,0
,,重庆市,,,,,,,,,,,,,,,,重庆市,,,,,,,,0
,,大连市,,,,,,,,,,,,,,,,辽宁省,,,,,,,,0
,,朝阳市,,,,,,,,,,,,,,,,辽宁省,,,,,,,,0
,,平顶山市,,,,,,,,,,,,,,,,河南省,,,,,,,,0
,,南通市,,,,,,,,,,,,,,,,江苏省,,,,,,,,0
,,六安市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
,,泉州市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
,,梅州市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,成都市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
,,漯河市,,,,,,,,,,,,,,,,河南省,,,,,,,,0
,,黑河市,,,,,,,,,,,,,,,,黑龙江省,,,,,,,,0
,,渭南市,,,,,,,,,,,,,,,,陕西省,,,,,,,,0
,,长沙市,,,,,,,,,,,,,,,,湖南省,,,,,,,,0
,,重庆市,,,,,,,,,,,,,,,,重庆市,,,,,,,,0
,,梅州市,,,,,,,,,,,,,,,,广东省,,,,,,,,0
,,重庆市,,,,,,,,,,,,,,,,重庆市,,,,,,,,0
,,安阳市,,,,,,,,,,,,,,,,河南省,,,,,,,,0
,,南昌市,,,,,,,,,,,,,,,,江西省,,,,,,,,0
,,百色市,,,,,,,,,,,,,,,,广西壮族自治区,,,,,,,,0
,,渭南地区,,,,,,,,,,,,,,,,陕西省,,,,,,,,0
,,聊城市,,,,,,,,,,,,,,,,山东省,,,,,,,,0
,,濮阳市,,,,,,,,,,,,,,,,河南省,,,,,,,,0
,,西安市,,,,,,,,,,,,,,,,陕西省,,,,,,,,0
,,阜阳市,,,,,,,,,,,,,,,,安徽省,,,,,,,,0
