partner_code,amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
YXM_CODE,,,福州市,,,,,,,,,,,,,,,,福建省,,,,,,,,1
LXJ_CODE,100000,,黔南布依族苗族自治州,航嘉有限公司,Z,90,APP,2.0,25.2,M,布依,1494.0,2.0,,MOTHER,SIBLING,2,70,贵州省,CONSUME,03,,29.294105,121.365332,ANDROID,false,0
JY_CODE,100000,102,吉安市,昆山铭晟新精密机械有限公司,C,24,APP,2.0,33.9,M,汉,5417.0,3.0,01,PARENTS,RELATIVES,1,96.215,江西省,CONSUME,01,,31.430429667632866,120.9285279245497,ANDROID,,0
LXJ_CODE,100000,,昭通市,南兴泡沫塑料工贸有限公司,C,24,APP,2.0,43.8,M,汉,3807.0,2.0,01,MATE,FRIENDS,1,70,云南省,CONSUME,02,,24.675743272569445,102.75219753689237,ANDROID,,0
LXJ_CODE,100000,103,承德市,河北尚秋建筑工程有限公司,E,24,APP,3.0,43.5,M,蒙古,5068.0,4.0,01,MATE,FRIENDS,1,84.347,河北省,CONSUME,01,,39.420780871505,116.31869872041807,ANDROID,false,0
LXJ_CODE,100000,102,北京市,北京信美佳口腔门诊有限公司,Q,11,APP,3.0,49.9,F,汉,99999.0,2.0,01,PARENTS,FRIENDS,3,89.713,北京市,CONSUME,01,,40.33415776042514,116.64241318106272,ANDROID,false,0
LXJ_CODE,100000,105,无锡市,朱迅个人工作室,E,24,APP,2.0,47.1,F,汉,761.0,4.0,01,PARENTS,COLLEAGUE,1,70,江苏省,CONSUME,01,,31.561801,120.266826,ANDROID,false,0
JY_CODE,100000,403,三门峡市,李芮光个人工作室,Z,90,APP,2.0,32.2,M,汉,6753.0,2.0,01,PARENTS,RELATIVES,2,89.069,河南省,CONSUME,01,,30.142399,120.159556,ANDROID,,0
LXJ_CODE,100000,403,三门峡市,李芮光个人工作室,Z,90,APP,2.0,32.2,M,汉,6753.0,2.0,01,PARENTS,RELATIVES,2,89.069,河南省,CONSUME,01,,30.142399,120.159556,ANDROID,false,0
LXJ_CODE,100000,102,眉山市,眉山多能电力建设有限公司,Z,90,APP,3.0,38.5,M,汉,5621.0,2.0,01,FATHER,MOTHER,1,70,四川省,CONSUME,01,,29.985522,104.15557,ANDROID,false,0
LXJ_CODE,100000,102,铜陵市,瑞锐钟表厂,Z,90,APP,2.0,32.6,M,汉,116.0,3.0,01,MATE,FATHER,1,82.918,安徽省,CONSUME,01,,29.297036,120.330017,ANDROID,false,0
JY_CODE,100000,105,荆州市,湖北锋发玻玏公司,Z,90,APP,3.0,47.4,M,汉,161.0,2.0,01,FATHER,FATHER,1,70,湖北省,CONSUME,01,,30.86189913706238,114.14772813596908,ANDROID,,0
LXJ_CODE,100000,104,重庆市,自由工作者,Z,90,APP,2.0,33.7,F,汉,5664.0,4.0,01,MATE,FRIENDS,1,70,重庆市,CONSUME,01,,29.756975593239895,106.4906326498042,ANDROID,false,0
LXJ_CODE,100000,,中卫市,宁夏安圣达建筑有限公司,E,24,APP,3.0,36.4,M,汉,4709.0,4.0,01,PARENTS,FRIENDS,2,70,宁夏回族自治区,CONSUME,01,,37.495742,105.682628,ANDROID,false,0
YXM_CODE,,,泉州市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
LXJ_CODE,100000,104,怀化市,聪聪名店美容美发,O,17,APP,3.0,29.7,F,汉,6287.0,4.0,01,PARENTS,MATE,1,87.612,湖南省,CONSUME,01,,27.332595339073245,110.15460370950571,ANDROID,,0
